Competência;Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;De 1 a 3 atendimentos;De 4 a 5 atendimentos;6 ou mais atendimentos
202205;DF;530010;BRASÍLIA;0011207;02;CENTRO DE SAUDE/UNIDADE BASICA;27;6;0
202205;DF;530010;BRASÍLIA;9480587;02;CENTRO DE SAUDE/UNIDADE BASICA;11;5;2
202205;DF;530010;BRASÍLIA;5050340;02;CENTRO DE SAUDE/UNIDADE BASICA;12;4;1
202205;DF;530010;BRASÍLIA;7299877;02;CENTRO DE SAUDE/UNIDADE BASICA;18;5;3
202205;DF;530010;BRASÍLIA;0010863;02;CENTRO DE SAUDE/UNIDADE BASICA;14;0;2
202205;DF;530010;BRASÍLIA;0736260;02;CENTRO DE SAUDE/UNIDADE BASICA;10;3;0
202205;DF;530010;BRASÍLIA;0010790;02;CENTRO DE SAUDE/UNIDADE BASICA;53;9;1
202103;DF;530010;BRASÍLIA;3212017;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
202104;DF;530010;BRASÍLIA;0010901;02;CENTRO DE SAUDE/UNIDADE BASICA;15;3;2
202104;DF;530010;BRASÍLIA;6216021;02;CENTRO DE SAUDE/UNIDADE BASICA;26;6;4
202003;DF;530010;BRASÍLIA;0011231;02;CENTRO DE SAUDE/UNIDADE BASICA;23;5;0
201905;DF;530010;BRASÍLIA;0010669;02;CENTRO DE SAUDE/UNIDADE BASICA;19;3;2
201809;DF;530010;BRASÍLIA;3677044;02;CENTRO DE SAUDE/UNIDADE BASICA;2;0;0
202109;DF;530010;BRASÍLIA;5167817;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
202204;DF;530010;BRASÍLIA;0010626;02;CENTRO DE SAUDE/UNIDADE BASICA;17;6;0
202204;DF;530010;BRASÍLIA;2617293;02;CENTRO DE SAUDE/UNIDADE BASICA;13;5;5
202203;DF;530010;BRASÍLIA;0011061;02;CENTRO DE SAUDE/UNIDADE BASICA;16;1;3
201909;DF;530010;BRASÍLIA;2672227;02;CENTRO DE SAUDE/UNIDADE BASICA;1;1;3
201801;DF;530010;BRASÍLIA;0011592;02;CENTRO DE SAUDE/UNIDADE BASICA;9;1;0
202002;DF;530010;BRASÍLIA;0011622;02;CENTRO DE SAUDE/UNIDADE BASICA;1;2;0
201901;DF;530010;BRASÍLIA;6268269;02;CENTRO DE SAUDE/UNIDADE BASICA;57;6;4
201803;DF;530010;BRASÍLIA;0011657;02;CENTRO DE SAUDE/UNIDADE BASICA;3;3;2
202212;DF;530010;BRASÍLIA;0011134;02;CENTRO DE SAUDE/UNIDADE BASICA;19;2;1
202212;DF;530010;BRASÍLIA;7347715;02;CENTRO DE SAUDE/UNIDADE BASICA;17;4;5
202109;DF;530010;BRASÍLIA;6921736;02;CENTRO DE SAUDE/UNIDADE BASICA;11;2;0
202109;DF;530010;BRASÍLIA;3742873;02;CENTRO DE SAUDE/UNIDADE BASICA;8;0;0
202109;DF;530010;BRASÍLIA;0010952;02;CENTRO DE SAUDE/UNIDADE BASICA;22;5;3
202109;DF;530010;BRASÍLIA;2804360;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
202107;DF;530010;BRASÍLIA;9768637;02;CENTRO DE SAUDE/UNIDADE BASICA;13;5;0
202107;DF;530010;BRASÍLIA;0011010;02;CENTRO DE SAUDE/UNIDADE BASICA;5;6;5
202107;DF;530010;BRASÍLIA;0010790;02;CENTRO DE SAUDE/UNIDADE BASICA;34;2;0
202108;DF;530010;BRASÍLIA;0010758;02;CENTRO DE SAUDE/UNIDADE BASICA;8;1;0
202109;DF;530010;BRASÍLIA;0011150;02;CENTRO DE SAUDE/UNIDADE BASICA;18;5;0
202007;DF;530010;BRASÍLIA;0011592;02;CENTRO DE SAUDE/UNIDADE BASICA;2;0;1
201802;DF;530010;BRASÍLIA;3286932;02;CENTRO DE SAUDE/UNIDADE BASICA;13;0;0
202007;DF;530010;BRASÍLIA;2804360;02;CENTRO DE SAUDE/UNIDADE BASICA;14;0;1
201810;DF;530010;BRASÍLIA;7347715;02;CENTRO DE SAUDE/UNIDADE BASICA;11;1;0
201903;DF;530010;BRASÍLIA;7347715;02;CENTRO DE SAUDE/UNIDADE BASICA;13;2;1
202005;DF;530010;BRASÍLIA;0010987;02;CENTRO DE SAUDE/UNIDADE BASICA;33;7;1
201912;DF;530010;BRASÍLIA;3144607;02;CENTRO DE SAUDE/UNIDADE BASICA;16;2;1
202008;DF;530010;BRASÍLIA;5050359;02;CENTRO DE SAUDE/UNIDADE BASICA;6;4;2
201801;DF;530010;BRASÍLIA;0010871;02;CENTRO DE SAUDE/UNIDADE BASICA;35;2;0
202001;DF;530010;BRASÍLIA;0010774;02;CENTRO DE SAUDE/UNIDADE BASICA;34;0;0
202006;DF;530010;BRASÍLIA;0010669;02;CENTRO DE SAUDE/UNIDADE BASICA;28;3;1
