CID,"É morte evitável?(1 - sim, 0 - não)","Evitáveis reduzíveis por ações de imunoprevenção? (1-sim, 0-não)","Evitável reduzíveis por adequada assistência na gestação?(1 - sim, 0 - não)",Reduzíveis por adequada atenção à mulher no parto,Reduzíveis por adequada atenção ao feto e ao recém-nascido:,Reduzíveis por ações adequadas de diagnóstico e tratamento:,"Reduzíveis por ações adequadas de promoção à saúde, vinculadas a ações adequadas de atenção à saúde:"
A09,1,0,0,0,0,0,1
A390,1,0,0,0,0,1,0
A419,1,0,0,0,0,1,0
A502,1,0,1,0,0,0,0
A509,1,0,1,0,0,0,0
B342,0,0,0,0,0,0,0
C719,0,0,0,0,0,0,0
C749,0,0,0,0,0,0,0
C910,0,0,0,0,0,0,0
C920,0,0,0,0,0,0,0
D571,0,0,0,0,0,0,0
D849,0,0,0,0,0,0,0
E230,0,0,0,0,0,0,0
E43,0,0,0,0,0,0,0
E740,0,0,0,0,0,0,0
E889,0,0,0,0,0,0,0
G001,1,0,0,0,0,1,0
G009,0,0,0,0,0,0,0
G120,0,0,0,0,0,0,0
G409,1,0,0,0,0,1,0
G419,1,0,0,0,0,1,0
G809,0,0,0,0,0,0,0
G919,0,0,0,0,0,0,0
G931,0,0,0,0,0,0,0
G934,0,0,0,0,0,0,0
I272,0,0,0,0,0,0,0
I420,0,0,0,0,0,0,0
I424,0,0,0,0,0,0,0
I615,0,0,0,0,0,0,0
I619,0,0,0,0,0,0,0
J121,1,0,0,0,0,1,0
J159,1,0,0,0,0,1,0
J180,1,0,0,0,0,1,0
J189,1,0,0,0,0,1,0
J210,1,0,0,0,0,1,0
J218,1,0,0,0,0,1,0
J219,1,0,0,0,0,1,0
J459,1,0,0,0,0,1,0
J690,1,0,0,0,0,1,0
J81,0,0,0,0,0,0,0
J984,0,0,0,0,0,0,0
K561,0,0,0,0,0,0,0
K566,0,0,0,0,0,0,0
K631,0,0,0,0,0,0,0
N049,0,0,0,0,0,0,0
P000,1,0,1,0,0,0,0
P001,1,0,1,0,0,0,0
P002,1,0,1,0,0,0,0
P003,1,0,1,0,0,0,0
P008,1,0,1,0,0,0,0
P009,1,0,1,0,0,0,0
P010,1,0,1,0,0,0,0
P011,1,0,1,0,0,0,0
P012,1,0,1,0,0,0,0
P013,1,0,1,0,0,0,0
P015,1,0,1,0,0,0,0
P020,1,0,0,1,0,0,0
P021,1,0,0,1,0,0,0
P022,1,0,1,0,0,0,0
P023,1,0,1,0,0,0,0
P024,1,0,0,1,0,0,0
P027,1,0,1,0,0,0,0
P030,1,0,0,1,0,0,0
P035,1,0,0,1,0,0,0
P038,1,0,0,1,0,0,0
P044,1,0,1,0,0,0,0
P059,1,0,1,0,0,0,0
P070,1,0,1,0,0,0,0
P071,1,0,1,0,0,0,0
P072,1,0,1,0,0,0,0
P200,1,0,0,1,0,0,0
P209,1,0,0,1,0,0,0
