"","Sexo","Cor","Idade","Fez curso de magistério","Instituição de magistério","Possui graduação","Tipo de graduação","Instituição de graduação","Tempo de docência na educação privada","Tempo de docência na educação pública","Possui especialização Latu Sensus","Instituição do Latu Sensus","Tipo do Latu Sensus","Possui mestrado","Instituição do mestrado","Tipo do mestrado","Possui doutorado","Instituição do doutorado","Tipo do doutorado","Possui pós-doutorado","Instituição do pós-doutorado","Tipo do pós-doutorado","Possui pós-doutorado em outra área","Tempo de docência no SEEDF","Coordenação regional de ensino","Modalidade de ensino atual","Vínculo institucional no SEEDF","Professor readaptado","Realizou alguns dos cursos das oficinas pedagógicas da SEEDF","Oficina pedagógica em que está realizando o curso","Curso realizado atualmente","Tempo em que participa do curso","Principais razões em fazer o curso","Referências utilizadas","O que representa a ludicidade","Significado de ser professor cursista","Principais razões em fazer o curso.1","Atividades que contribuiram para o trabalho docente"
"1","Feminino","Preta","De 40 a 49 anos","Sim","Pública","Sim","Pedagogia","Particular","De 1 a 5 anos","De 6 a 10 anos","Sim","Particular","Orientação Educacional","Não","Não cursei","Não cursei","Não cursei ainda.","Não","Não cursei","Não cursei ainda .","Não","Não cursei","Não cursei ainda.","De 6 a 10 anos","CRE Brazlândia","Educação Básica - Ensino Fundamental / Anos Iniciais","Professor Contrato Temporário - Atividades","Não","Sim","CVLOP Brazlândia","A arte de contar histórias. ","De 1 a 5 anos","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .","Estamos no início do curso, mas já vejo nomes como Jonas Ribeiro, autor regional que nos impulsiona a buscar mais histórias paras nossas crianças. ","Vejo a ludicidade como âncora para o trabalho docente diário, ainda mais no meu local de trabalho, onde os estudantes passam o tempo integral, vejo que o lúdico traz leveza e um aprendizado significativo. ","Ser aprendiz diário do fazer docente em progresso.","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .","A proposição de estratégias lúdicas para a sala de aula.;A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;Os recursos produzidos para dinamizarem os conteúdos mais densos das minhas aulas."
"2","Feminino","Preta","De 40 a 49 anos","Sim","Particular","Sim","LICENCIATURA PLENA EM GEOGRAFIA E LICENCIATURA EM PEDAGOGIA","Pública","Não atuei","De 16 a 20 anos","Sim","Particular","GESTÃO ESCOLAR E ORIENTAÇÃO EDUCACIONAL","Não","Não cursei","Não cursei","NÃO CURSEI","Não","Não cursei","NÃO CURSEI","Não","Não cursei","NÃO CURSEI","De 16 a 20 anos","CRE Taguatinga","Educação Especial","Professor Efetivo - Atividades","Não","Sim","CVLOP Ceilândia","CONTAÇÃO DE HISTÓRIAS","De 11 a 15 anos","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","-","O ENRIQUECIMENTO DA PRÁTICA PEDAGÓGICA PARA TORNAR O PROCESSO DE ENSINO APRENDIZAGEM MAIS ATRAENTE PARA O ALUNO.","SER BUSCADOR DE NOVAS METODOLOGIAS DE ENSINO.","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"3","Feminino","Parda","De 50 a 54 anos","Não","Não cursei","Sim","Pedagogia ","Particular","Não atuei","De 16 a 20 anos","Sim","Particular","Psicopedagogo","Não","Não cursei","Não cursei","Não cursei ","Não","Não cursei","Não cursei ","Não","Não cursei","Não cursei ","De 11 a 15 anos","CRE Ceilândia","Educação Especial","Professor Efetivo - Atividades","Não","Não","CVLOP Ceilândia","A arte de contar histórias.","De 6 a 10 anos","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","Não me recordo","Absolutamente necessária ","Um prazer!","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A produção de materiais diversos.;A proposição de estratégias lúdicas para a sala de aula.;O debate sobre a relevância da ludicidade para a sala de aula.;A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;Os recursos produzidos para dinamizarem os conteúdos mais densos das minhas aulas.;O resgate da alegria de aprender e ensinar.;A oportunidade de confeccionar jogos.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"4","Feminino","Branca","De 40 a 49 anos","Não","Não cursei","Sim","Pedagogia ","Particular","Não atuei","De 21 a 25 anos","Sim","Particular","Inclusão na Educação Infantil ","Não","Não cursei","Não cursei","Não fiz","Não","Não cursei","Não fiz","Não","Não cursei","Não fiz","De 21 a 25 anos","CRE Taguatinga","Educação Básica - Educação Infantil","Professor Efetivo - Atividades","Não","Sim","CVLOP Taguatinga","A arte de contar histórias ","De 16 a 20 anos","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","Vygotsky entre outros","Uma forma mais agradável e divertida de se aprender brincando. ","O momento mais esperado da semana, onde posso aprender mais,  confeccionar materiais e trocar experiências e vivências com outros colegas. ","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A produção de materiais diversos.;A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;O resgate da alegria de aprender e ensinar."
"5","Feminino","Parda","De 40 a 49 anos","Não","Não cursei","Sim","Pedagogia e Orientação Educacional ","Particular","De 1 a 5 anos","De 11 a 15 anos","Sim","Particular","Psicopedagogia 
Educação Especial 
","Não","Não cursei","Não cursei","Não cursei.","Não","Não cursei","Não cursei. ","Não","Não cursei","Não cursei.","De 11 a 15 anos","CRE Ceilândia","Educação Básica - Ensino Fundamental / Anos Iniciais","Professor Efetivo - Atividades","Não","Sim","CVLOP Ceilândia","Contação de histórias ","De 1 a 5 anos","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.","Jonas Ribeiro, Lenice Gomes e Fabiano Morais, celso Sisto e Cleo Bussato.","O resgate do renovo em sala de aula. A inovação em meio à repetição  oportunizando novas práticas e despertar o gosto dos alunos pelas aprendizagens. ","Resgatar o gosto e o zelo pela formação continuada afim de lapidar pérolas preciosas escondidas.","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.","A produção de materiais diversos.;A proposição de estratégias lúdicas para a sala de aula.;O resgate da alegria de aprender e ensinar."
"6","Feminino","Branca","De 50 a 54 anos","Sim","Pública","Sim","Geografia primeiro e segundo graus ","Particular","De 1 a 5 anos","De 26 a 30 anos","Sim","Particular","Sexualidade na adolescência ","Não","Não cursei","Não cursei","Não cursei ","Não","Não cursei","Não cursei ","Não","Não cursei","Não cursei","De 21 a 25 anos","CRE Samambaia","Educação Básica - Ensino Fundamental / Anos Iniciais","Professor Efetivo - Área Específica","Sim","Sim","CVLOP Ceilândia","Arte de contar histórias ","De 21 a 25 anos","Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Por proporcionar momentos de partilha de experiências entre os professores em formação.;Por incentivo dos/das colegas que já conhecem os cursos de formação continuada das Oficinas Pedagógicas.","Não me lembro ","Representa uma nova vivência e também capacitação para continuar as contrações de história depois que aposentar ","Uma oportunidade para crescimento profissional e pessoal","Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Por proporcionar momentos de partilha de experiências entre os professores em formação.;Por incentivo dos/das colegas que já conhecem os cursos de formação continuada das Oficinas Pedagógicas.","A proposição de estratégias lúdicas para a sala de aula.;O debate sobre a relevância da ludicidade para a sala de aula.;A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;O resgate da alegria de aprender e ensinar.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"7","Feminino","Amarela","De 40 a 49 anos","Sim","Particular","Sim","Pedagogia","Pública","Não atuei","De 11 a 15 anos","Sim","Particular","Psicopedagogia institucional e clínica","Não","Não cursei","Não cursei","Não cursei","Não","Não cursei","Não cursei","Não","Não cursei","Não cursei","De 11 a 15 anos","CRE Samambaia","Educação Básica - Educação Infantil","Professor Efetivo - Atividades","Não","Não","CVLOP Samambaia","A arte de contar histórias","Menos de 1 ano","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Pela necessidade de cumprir uma carga horária de formação continuada para avançar nas etapas do Plano de Carreira.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .","Rubem Alves, T. Takahama - grupo Rigios/Espanha, Madalena Freire.","Para mim, o fazer lúdico na educação infantil é a chave para uma educação realmente efetiva.","Buscar novas experiências, novos conhecimentos, um momente de reciclagem do meu saber. É me preparar melhor para os desafios na sala de aula.","Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Pela necessidade de cumprir uma carga horária de formação continuada para avançar nas etapas do Plano de Carreira.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .","A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"8","Feminino","Branca","De 40 a 49 anos","Não","Não cursei","Sim","FÍSICA","Particular","De 1 a 5 anos","De 16 a 20 anos","Sim","Particular","ORIENTAÇÃO EDUCACIONAL","Não","Não cursei","Não cursei",NA,"Não","Não cursei",NA,"Não","Não cursei",NA,"De 16 a 20 anos","CRE Taguatinga","Educação Básica - Ensino Fundamental / Anos Finais","Professor Efetivo - Área Específica","Não","Não","CVLOP Taguatinga","A ARTE DE CONTAR HISTÓRIAS","Menos de 1 ano","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","VYGOSTKY, PIAGET E LUCKESI.","A POSSIBILIDADE DE DESPERTAR O ENCANTAMENTO PELA MATEMÁTICA E PELAS CIÊNCIAS, EM ESPECIAL A FÍSICA, DESMISTIFICANDO A CRENÇA DE QUE SÃO DIFÍCEIS, COISA DE DOIDO OU DE GÊNIO. ","APRENDER A CONTAR HISTÓRIAS E ENCANTAR MEU ESTUDANTES.","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"9","Feminino","Preta","De 40 a 49 anos","Não","Não cursei","Sim","Matemática e Pedagogia ","Particular","Menos de 1 ano","De 11 a 15 anos","Sim","Particular","Educação Especial e Inclusiva / Orientação e Gestão Educacional ","Não","Não cursei","Não cursei","Nada ","Não","Não cursei","Nada","Não","Não cursei","Nada","De 6 a 10 anos","CRE Ceilândia","Educação Básica - Ensino Fundamental / Anos Iniciais","Professor Contrato Temporário - Atividades","Não","Não","CVLOP Ceilândia","Contação de história ","Menos de 1 ano","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Por proporcionar momentos de partilha de experiências entre os professores em formação.","  Não me atentei a esse detalhe. Não considerei importante o referencial e sim a prática em si.","Muito importante para tornar as aulas mais atrativas.","Uma ótima experiência!","Por ser ofertado nas proximidades da minha escola e/ou residência.;Por proporcionar a produção de material pedagógico.;Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A produção de materiais diversos.;A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
"10","Feminino","Branca","De 40 a 49 anos","Sim","Pública","Sim","Letras e Pedagogia","Particular","De 1 a 5 anos","De 11 a 15 anos","Sim","Particular","Fajesu","Não","Não cursei","Não cursei","Não","Não","Não cursei","Não","Não","Não cursei","Não","De 6 a 10 anos","CRE Brazlândia","Educação Básica - Ensino Fundamental / Anos Iniciais","Professor Contrato Temporário - Atividades","Não","Não","CVLOP Brazlândia","A arte de contar Histórias ","De 1 a 5 anos","Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","Fanny Abramovich, Jussara Millee, Gabriela Di Donato, Vigotski","Suscitar  o imaginário através de brincadeiras e  histórias  para uma união com conteúdos, criando excelentes  estratégias  de favorecimento a aprendizagem. ","Estar aberto a um ""transbordo"" é saber que sempre posso melhorar como docente e ter a consciência  que também posso contribuir. ","Por propor aulas com ludicidade, do início ao fim de cada encontro.;Por oportunizar fundamentação teórico-prática que contribui para a minha atuação em sala e/ou outros espaços educativos.la.;Para proporcionar aulas mais dinâmicas e atraentes para os meus alunos.;Para reelaborar o meu trabalho docente a partir das vivências com ludicidade no processo de formação .;Por proporcionar momentos de partilha de experiências entre os professores em formação.","A possibilidade de transformação das minhas aulas em aulas mais envolventes, atrativas e criativas.;A possibilidade de compreender os processos de ensinar e aprender a partir da ludicidade.;A oportunidade de vivenciar a ludicidade durante a formação, a partir de elementos lúdicos como: brincar, brincadeiras, jogo, atividades lúdico-corporais, entre outros."
